TEAM,GP,W,L,WIN%,Min,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Boston Celtics,82,64,18,0.78,3966,9887,3601,7396,48.7,1351,3482,38.8,1334,1654,80.7,876,2923,3799,2207,979,557,538,304,1326,1416,930
Denver Nuggets,82,57,25,0.695,3941,9418,3610,7279,49.6,958,2560,37.4,1240,1628,76.2,881,2762,3643,2415,1036,585,456,394,1489,1467,431
Oklahoma City Thunder,82,57,25,0.695,3961,9847,3653,7324,49.9,1090,2805,38.9,1451,1759,82.5,722,2725,3447,2223,1039,694,538,419,1545,1548,608
Minnesota Timberwolves,82,56,26,0.683,3961,9264,3383,6974,48.5,1037,2681,38.7,1461,1881,77.7,770,2807,3577,2184,1162,647,497,371,1544,1630,529
LA Clippers,82,51,31,0.622,3941,9481,3473,7108,48.9,1036,2719,38.1,1499,1817,82.5,822,2701,3523,2097,1078,640,413,384,1519,1537,269
Dallas Mavericks,82,50,32,0.61,3941,9664,3535,7352,48.1,1197,3242,36.9,1397,1842,75.8,797,2724,3521,2106,1027,563,406,331,1500,1667,181
New York Knicks,82,50,32,0.61,3946,9249,3385,7272,46.5,1083,2936,36.9,1396,1789,78,1039,2665,3704,1998,1085,612,336,431,1447,1565,376
Milwaukee Bucks,82,49,33,0.598,3961,9756,3538,7258,48.7,1163,3122,37.3,1517,1960,77.4,772,2850,3622,2176,1059,558,413,347,1574,1576,215
New Orleans Pelicans,82,49,33,0.598,3941,9436,3484,7165,48.6,1023,2673,38.3,1445,1873,77.1,852,2753,3605,2210,1067,684,378,424,1508,1507,362
Phoenix Suns,82,49,33,0.598,3956,9532,3482,7063,49.3,1020,2671,38.2,1548,1915,80.8,831,2783,3614,2218,1221,610,492,372,1475,1612,251
Cleveland Cavaliers,82,48,34,0.585,3961,9236,3425,7148,47.9,1108,3016,36.7,1278,1671,76.5,808,2742,3550,2299,1112,605,380,410,1436,1536,198
Indiana Pacers,82,47,35,0.573,3941,10110,3855,7599,50.7,1082,2891,37.4,1318,1685,78.2,827,2578,3405,2522,1059,631,481,440,1756,1501,250
Los Angeles Lakers,82,47,35,0.573,3971,9679,3580,7177,49.9,969,2572,37.7,1550,1983,78.2,676,2859,3535,2340,1146,605,453,390,1283,1619,49
Orlando Magic,82,47,35,0.573,3956,9058,3318,6964,47.6,903,2568,35.2,1519,2002,75.9,861,2608,3469,2023,1206,669,423,379,1618,1710,166
Philadelphia 76ers,82,47,35,0.573,3956,9397,3404,7331,46.4,992,2733,36.3,1597,1934,82.6,906,2616,3522,2041,984,694,492,503,1668,1519,250
Golden State Warriors,82,46,36,0.561,3966,9657,3582,7515,47.7,1211,3191,38,1282,1644,78,996,2834,3830,2402,1174,572,377,407,1598,1471,214
Miami Heat,82,46,36,0.561,3951,9032,3266,7022,46.5,1022,2765,37,1478,1806,81.8,766,2702,3468,2116,1038,617,280,388,1415,1550,144
Sacramento Kings,82,46,36,0.561,3971,9558,3553,7455,47.7,1178,3219,36.6,1274,1710,74.5,888,2719,3607,2324,1078,625,342,370,1632,1504,143
Houston Rockets,82,41,41,0.5,3971,9375,3425,7459,45.9,1043,2964,35.2,1482,1916,77.3,940,2787,3727,2035,1045,639,375,482,1702,1609,92
Chicago Bulls,82,39,43,0.476,3996,9206,3448,7339,47,941,2630,35.8,1369,1731,79.1,916,2677,3593,2048,1004,638,394,404,1541,1538,-118
Atlanta Hawks,82,36,46,0.439,3971,9703,3529,7584,46.5,1125,3092,36.4,1520,1906,79.7,1024,2639,3663,2180,1110,615,369,461,1522,1594,-179
Brooklyn Nets,82,32,50,0.39,3961,9050,3334,7307,45.6,1089,3010,36.2,1293,1711,75.6,938,2675,3613,2102,1076,556,424,409,1516,1496,-237
Utah Jazz,82,31,51,0.378,3961,9484,3443,7371,46.7,1060,2993,35.4,1538,1853,83,1002,2725,3727,2232,1285,537,458,528,1523,1577,-401
Memphis Grizzlies,82,27,55,0.329,3956,8677,3145,7229,43.5,1071,3097,34.6,1316,1722,76.4,896,2598,3494,2025,1236,673,501,535,1563,1539,-574
Toronto Raptors,82,25,57,0.305,3961,9213,3466,7356,47.1,942,2712,34.7,1339,1772,75.6,891,2607,3498,2335,1147,634,388,474,1509,1487,-528
San Antonio Spurs,82,22,60,0.268,3966,9192,3438,7436,46.2,1036,2983,34.7,1280,1637,78.2,849,2778,3627,2449,1242,584,520,380,1414,1470,-532
Charlotte Hornets,82,21,61,0.256,3946,8740,3281,7133,46,989,2788,35.5,1189,1512,78.6,765,2538,3303,2033,1129,562,371,396,1472,1432,-840
Portland Trail Blazers,82,21,61,0.256,3976,8722,3227,7356,43.9,939,2723,34.5,1329,1680,79.1,1036,2469,3505,1894,1249,627,354,528,1654,1467,-740
Washington Wizards,82,15,67,0.183,3946,9327,3523,7493,47,1015,2915,34.8,1266,1657,76.4,755,2613,3368,2290,1147,623,415,496,1637,1473,-762
Detroit Pistons,82,14,68,0.171,3951,9010,3353,7236,46.3,906,2602,34.8,1398,1780,78.5,861,2692,3553,2088,1248,531,384,490,1688,1457,-747
